country,year,eur_million
AT,2000,8860.994118139999
BE,2000,17196.09249494
BG,2000,182.80979572
CY,2000,10.567278250000001
CZ,2000,204.57907
DE,2000,81798.57053442
DK,2000,8386.82631958
EE,2000,90.61477959
EL,2000,26425.3261127
ES,2000,55996.58782381
FI,2000,8089.14955413
FR,2000,71184.90955365
HR,2000,28.65107922
HU,2000,317.21765739
IE,2000,11912.64565267
IT,2000,67836.99865321
LT,2000,96.85392745
LU,2000,2309.29099984
LV,2000,102.50610518
MT,2000,5.34497191
NL,2000,17180.30260127
PL,2000,502.39892898000005
PT,2000,18832.47021689
RO,2000,317.75960876
SE,2000,9143.82236016
SI,2000,70.80529566999999
SK,2000,125.24337858000001
AT,2007,11235.471333653337
BE,2007,23428.442196380594
BG,2007,2409.118440650874
CY,2007,796.8217230843629
CZ,2007,9669.010939795924
DE,2007,98644.87057495944
DK,2007,10949.051166592397
EE,2007,1886.48971643665
EL,2007,45375.06236225591
ES,2007,78896.10230679382
FI,2007,9281.457641152474
FR,2007,98215.20402883738
HR,2007,233.76085366
HU,2007,12179.728817850888
IE,2007,12651.597705422177
IT,2007,79367.14589567606
LT,2007,4794.009128534925
LU,2007,3422.8489112574157
LV,2007,3239.272076837388
MT,2007,459.0018679617757
NL,2007,19521.692398024632
PL,2007,38607.09621591385
PT,2007,20446.336942907717
RO,2007,7222.622472336072
SE,2007,12701.422416172376
SI,2007,2197.021593826541
SK,2007,5638.096474215145
AT,2008,11716.98901746
BE,2008,25116.575074515
BG,2008,4245.8632921
CY,2008,854.02861894
CZ,2008,13518.89017488
DE,2008,93416.58797179
DK,2008,11371.39343209
EE,2008,1855.58731669
EL,2008,44443.59609723
ES,2008,74812.37491646
FI,2008,8990.48270135
FR,2008,98869.04257843
HR,2008,410.66560097
HU,2008,10868.682556125
IE,2008,12203.59876003
IT,2008,76185.03393701
LT,2008,5561.96983288
LU,2008,3857.3365318999995
LV,2008,2989.13158724
MT,2008,459.72888032000003
NL,2008,21746.680859192
PL,2008,40155.89833595053
PT,2008,21509.92555829
RO,2008,12116.49261542
SE,2008,12484.66937812
SI,2008,2617.1622203
SK,2008,6500.2621241199995
AT,2009,12135.58660860622
BE,2009,22928.942046571294
BG,2009,4536.5570763248925
CY,2009,1111.6200971035696
CZ,2009,15691.707340893792
DE,2009,92584.59776966122
DK,2009,10817.022980398966
