country,year,eur_million
AT,2000,213391.57603616
BE,2000,268819.79733332
BG,2000,14189.48088427087
CY,2000,9668.768905296309
CZ,2000,65425.20010734889
DE,2000,2129097.1656458294
DK,2000,176376.49128643083
EE,2000,5938.8876
EL,2000,145865.9661521402
ES,2000,651212.22786505
FI,2000,136763.17985025
FR,2000,1529252.81203485
HR,2000,23098.692769764297
HU,2000,48661.486353798005
IE,2000,95000.63568673
IT,2000,1247306.2010359499
LT,2000,12226.12828557039
LU,2000,17379.83169512
LV,2000,8508.06453867373
MT,2000,4259.430462637201
NL,2000,464600.33906668
PL,2000,185705.74152085037
PT,2000,127457.34425254
RO,2000,40458.14929353499
SE,2000,284920.03626551956
SI,2000,21966.075025727907
SK,2000,22226.449690033995
AT,2007,284210.28689944
BE,2007,355160.42403517
BG,2007,29987.14241070874
CY,2007,16505.397649889128
CZ,2007,130523.01493007605
DE,2007,2582089.0185308023
DK,2007,237178.3826607184
EE,2007,15347.83156473
EL,2007,229833.34392252
ES,2007,1065801.28403144
FI,2007,188951.32608927
FR,2007,2004484.09433728
HR,2007,42978.92631109215
HU,2007,95606.84821597514
IE,2007,172727.41663355
IT,2007,1626764.63934709
LT,2007,28263.6688335
LU,2007,29491.46321461
LV,2007,22177.72670653784
MT,2007,5669.560191680001
NL,2007,620677.24901853
PL,2007,305690.92704388924
PT,2007,171471.70281301002
RO,2007,122177.03645563552
SE,2007,372450.59047354496
SI,2007,34957.6991301
SK,2007,55070.45116824435
AT,2008,296454.94782379
BE,2008,367738.04739506
BG,2008,35262.95208924104
CY,2008,18586.50792079
CZ,2008,152117.9164203872
DE,2008,2621790.4091980834
DK,2008,246426.82263440205
EE,2008,15812.584825169999
EL,2008,236992.25685232
ES,2008,1097406.74540669
FI,2008,195949.75011012
FR,2008,2058055.11365001
HR,2008,46737.239048877134
HU,2008,101622.39262121469
IE,2008,164361.6494408
IT,2008,1634444.0453467201
LT,2008,31970.67908049
LU,2008,30049.288999739998
LV,2008,24337.448242875704
MT,2008,6105.26325625
NL,2008,630604.484451701
PL,2008,360288.99475127767
PT,2008,173509.50404379
RO,2008,139761.50230727595
SE,2008,370292.9975920063
SI,2008,37532.20194947
SK,2008,65133.44986635841
AT,2009,288588.70277202
BE,2009,353935.47140473
BG,2009,35669.60992546381
CY,2009,17745.92899762
CZ,2009,139453.6832128022
DE,2009,2544448.404936562
DK,2009,235293.53935647596
EE,2009,13889.0205839
EL,2009,234496.6318736
ES,2009,1071412.62879452
FI,2009,185278.76320728
FR,2009,1995002.87947143
HR,2009,43539.06858421245
HU,2009,90116.72622412846
IE,2009,142817.24418734
IT,2009,1588902.60120585
LT,2009,27800.18052396
LU,2009,24001.36173597
LV,2009,20375.70788365845
MT,2009,5879.30138964
NL,2009,618631.11308453
PL,2009,307355.2982683633
PT,2009,170778.54047714
RO,2009,120268.71136139876
SE,2009,319854.02407127153
SI,2009,36169.22746093
SK,2009,64208.29621961
AT,2010,299608.07699391997
BE,2010,378832.56716144
BG,2010,36204.682571077916
CY,2010,18559.331173669998
CZ,2010,146294.51586856716
DE,2010,2660632.8173881695
DK,2010,248181.51801440635
EE,2010,14103.63309689
EL,2010,224095.49175171
ES,2010,1077011.47491037
FI,2010,191464.22304133
FR,2010,2060263.18812304
HR,2010,43693.12596707914
HU,2010,94296.82557271952
IE,2010,141343.92356157
IT,2010,1618576.74544973
LT,2010,27787.38942962
LU,2010,26000.74058749
LV,2010,18430.04894079524
MT,2010,6392.34023038
NL,2010,642866.79219082
PL,2010,350239.80848395167
PT,2010,175671.41361935
RO,2010,126468.61594537746
SE,2010,382923.78841921635
SI,2010,36321.030763799994
SK,2010,66387.28992924
AT,2011,312916.46138702997
BE,2011,390575.99163502
BG,2011,38979.74861737609
CY,2011,19907.07224716
CZ,2011,152921.14183822394
DE,2011,2798870.6370436717
DK,2011,254076.0476923332
EE,2011,15737.22727026
EL,2011,204185.35668695002
ES,2011,1069157.46512833
FI,2011,199868.55370676
FR,2011,2127886.5144266505
HR,2011,43463.8037165525
HU,2011,96574.07915414912
IE,2011,141914.46116873
IT,2011,1651262.97294321
LT,2011,30445.82639361
LU,2011,28131.81506895
LV,2011,20396.86246978419
MT,2011,6760.7500797699995
NL,2011,651155.57056651
PL,2011,365590.4298023269
PT,2011,174387.52184710998
RO,2011,132922.5212147648
SE,2011,420303.57650181215
SI,2011,37033.22769364
SK,2011,69612.86494852
AT,2012,323272.89033838996
BE,2012,401940.5170847
BG,2012,40494.05575700862
CY,2012,19080.249576709997
CZ,2012,152602.3922710455
DE,2012,2856201.745220034
DK,2012,259555.72774789855
EE,2012,17129.9573348
EL,2012,197357.92488536
ES,2012,1058127.45166221
FI,2012,202977.58357796
FR,2012,2146530.4777354402
HR,2012,42550.83956746061
HU,2012,95516.51264941422
IE,2012,144262.70415032
IT,2012,1629873.96113153
LT,2012,32704.81401004
LU,2012,28646.989374099998
LV,2012,22321.691588752692
MT,2012,6991.35900953
NL,2012,656523.16525487
PL,2012,374405.4835521422
PT,2012,166201.57495942
RO,2012,133029.40124132138
SE,2012,440740.2813838965
SI,2012,36199.96122764
SK,2012,71546.16816443
AT,2013,325644.49419618
BE,2013,397930.86743676
BG,2013,40783.11937087602
